tweet_id,favorites,retweets,user_followers_cnt,user_favourites_cnt,date_timestamp
892420643555336193,38984,8650,6430817,132887,2017-08-01 16:23:56
892177421306343426,33376,6355,6430817,132887,2017-08-01 00:17:27
891815181378084864,25149,4215,6430817,132887,2017-07-31 00:18:03
891689557279858688,42320,8764,6430817,132887,2017-07-30 15:58:51
891327558926688256,40488,9530,6430817,132887,2017-07-29 16:00:24
891087950875897856,20307,3158,6430817,132887,2017-07-29 00:08:17
890971913173991426,11910,2104,6430817,132887,2017-07-28 16:27:12
890729181411237888,65861,19171,6430817,132887,2017-07-28 00:22:40
890609185150312448,27891,4322,6430817,132887,2017-07-27 16:25:51
890240255349198849,32080,7528,6430817,132887,2017-07-26 15:59:51
890006608113172480,30790,7441,6430817,132887,2017-07-26 00:31:25
889880896479866881,27918,5033,6430817,132887,2017-07-25 16:11:53
889665388333682689,48293,10198,6430817,132887,2017-07-25 01:55:32
889638837579907072,27302,4606,6430817,132887,2017-07-25 00:10:02
889531135344209921,15159,2262,6430818,132887,2017-07-24 17:02:04
889278841981685760,25408,5522,6430818,132887,2017-07-24 00:19:32
888917238123831296,29218,4569,6430818,132887,2017-07-23 00:22:39
888804989199671297,25708,4416,6430818,132887,2017-07-22 16:56:37
888554962724278272,20020,3648,6430818,132887,2017-07-22 00:23:06
888078434458587136,21859,3552,6430818,132887,2017-07-20 16:49:33
887705289381826560,30326,5467,6430818,132887,2017-07-19 16:06:48
887517139158093824,46434,11820,6430818,132887,2017-07-19 03:39:09
887473957103951883,69438,18480,6430818,132887,2017-07-19 00:47:34
887343217045368832,33837,10543,6430818,132887,2017-07-18 16:08:03
887101392804085760,30687,6043,6430819,132887,2017-07-18 00:07:08
886983233522544640,35332,7872,6430819,132887,2017-07-17 16:17:36
886736880519319552,12131,3344,6430819,132887,2017-07-16 23:58:41
886680336477933568,22535,4532,6430819,132887,2017-07-16 20:14:00
886366144734445568,21216,3230,6430819,132887,2017-07-15 23:25:31
886267009285017600,116,4,6430819,132887,2017-07-15 16:51:35
886258384151887873,28095,6389,6430820,132887,2017-07-15 16:17:19
886054160059072513,0,105,6430820,132887,2017-07-15 02:45:48
885984800019947520,32869,6911,6430820,132887,2017-07-14 22:10:11
885528943205470208,36172,6530,6430820,132887,2017-07-13 15:58:47
885518971528720385,20514,3814,6430820,132887,2017-07-13 15:19:09
885311592912609280,0,18824,6430820,132887,2017-07-13 01:35:06
885167619883638784,22044,4441,6430820,132887,2017-07-12 16:03:00
884925521741709313,77921,18758,6430820,132887,2017-07-12 00:01:00
884876753390489601,28069,5928,6430820,132887,2017-07-11 20:47:12
884562892145688576,24415,4990,6430820,132887,2017-07-11 00:00:02
884441805382717440,27122,5728,6430820,132887,2017-07-10 15:58:53
884247878851493888,73346,20707,6430820,132887,2017-07-10 03:08:17
884162670584377345,20477,3034,6430820,132887,2017-07-09 21:29:42
883838122936631299,22005,3502,6430820,132887,2017-07-09 00:00:04
883482846933004288,46178,10121,6430820,132887,2017-07-08 00:28:19
883360690899218434,22654,3739,6430820,132887,2017-07-07 16:22:55
883117836046086144,37396,6771,6430820,132887,2017-07-07 00:17:54
882992080364220416,24053,3987,6430820,132887,2017-07-06 15:58:11
882762694511734784,28461,4994,6430820,132887,2017-07-06 00:46:41
882627270321602560,28000,6178,6430820,132887,2017-07-05 15:48:34
882268110199369728,45175,11782,6430821,132887,2017-07-04 16:01:23
882045870035918850,29510,5058,6430821,132887,2017-07-04 01:18:17
881906580714921986,24406,3444,6430821,132887,2017-07-03 16:04:48
881666595344535552,50801,10841,6430822,132887,2017-07-03 00:11:11
881633300179243008,128,7,6430822,132887,2017-07-02 21:58:53
881536004380872706,49676,16218,6430822,132887,2017-07-02 15:32:16
881268444196462592,23171,5226,6430822,132887,2017-07-01 21:49:04
880935762899988482,17091,2820,6430822,132887,2017-06-30 23:47:07
880872448815771648,21401,3879,6430822,132887,2017-06-30 19:35:32
880465832366813184,28655,6382,6430822,132887,2017-06-29 16:39:47
880221127280381952,27207,4295,6430822,132887,2017-06-29 00:27:25
880095782870896641,27762,4425,6430822,132887,2017-06-28 16:09:20
879862464715927552,22404,3555,6430822,132887,2017-06-28 00:42:13
879674319642796034,312,10,6430822,132887,2017-06-27 12:14:36
879492040517615616,23521,3238,6430822,132887,2017-06-27 00:10:17
879415818425184262,106405,44856,6430823,132887,2017-06-26 19:07:24
879376492567855104,16851,3163,6430823,132887,2017-06-26 16:31:08
879130579576475649,0,6966,6430823,132887,2017-06-26 00:13:58
879050749262655488,22707,4795,6430823,132887,2017-06-25 18:56:45
879008229531029506,19046,2738,6430823,132887,2017-06-25 16:07:47
878776093423087618,19471,4195,6430824,132887,2017-06-25 00:45:22
878604707211726852,30436,7367,6430824,132887,2017-06-24 13:24:20
878404777348136964,0,1314,6430824,132887,2017-06-24 00:09:53
878316110768087041,0,6779,6430824,132887,2017-06-23 18:17:33
878281511006478336,7799,1314,6430824,132887,2017-06-23 16:00:04
878057613040115712,42267,6966,6430824,132887,2017-06-23 01:10:23
877736472329191424,80427,19510,6430823,132887,2017-06-22 03:54:17
877611172832227328,0,81,6430823,132887,2017-06-21 19:36:23
877556246731214848,22895,3897,6430815,132888,2017-06-21 15:58:08
877316821321428993,27493,5273,6430823,132887,2017-06-21 00:06:44
877201837425926144,27281,5704,6430823,132887,2017-06-20 16:29:50
876838120628539392,20804,3425,6430823,132887,2017-06-19 16:24:33
876537666061221889,23559,4692,6430823,132887,2017-06-18 20:30:39
876484053909872640,18876,2451,6430823,132887,2017-06-18 16:57:37
